shipment_id,order_date,ship_date,ship_dow,ship_month,shipment_mode,carrier,service_level,origin_metro,dest_metro,origin_zip,dest_zip,origin_lat,origin_lon,dest_lat,dest_lon,distance_miles,zone,weight_lbs,length_in,width_in,height_in,pallet_count,residential_flag,signature_required,declared_value_usd,fuel_surcharge_pct,weather_severity,carrier_congestion_index,promised_days,carrier_cost_usd,transit_days,delivered_on_time
SHP-42-0045213,2024-12-05,2024-12-06,4,12,parcel,Falcon Post,Ground,Seattle WA,Nashville TN,98101,37275,47.61,-122.33,36.16,-86.78,1970.6,8,,9.8,10.7,6.4,0,0,0,0.0,0.1703,0.667,0.746,7,13.89,10,0
SHP-42-0000998,2025-05-23,2025-05-24,5,5,parcel,Summit Express,Ground,Charlotte NC,New York NY,28259,10047,35.23,-80.84,40.71,-74.01,530.5,4,2.73,9.3,6.9,4.4,0,1,0,0.0,0.1229,0.039,0.218,5,18.16,4,1
SHP-42-0034559,2025-01-24,2025-01-25,5,1,parcel,Summit Express,Ground,Charlotte NC,Portland OR,28275,97284,35.23,-80.84,45.51,-122.68,2285.1,8,2.73,5.4,7.2,4.0,0,1,0,32.76,0.1457,0.365,0.072,7,20.72,6,1
SHP-42-0043482,2024-12-06,2024-12-06,4,12,parcel,Northstar Parcel,Expedited,Kansas City MO,New York NY,64193,10076,39.1,-94.58,40.71,-74.01,1093.4,6,2.24,9.2,7.2,4.5,0,0,0,89.17,0.1422,0.213,0.882,4,14.11,4,1
SHP-42-0010609,2025-08-15,2025-08-16,5,8,parcel,Summit Express,TwoDay,Boston MA,Columbus OH,2199,43230,42.36,-71.06,39.96,-82.99,641.7,5,3.17,7.2,5.3,6.1,0,1,0,43.47,0.099,0.466,0.13,3,32.11,3,1
SHP-42-0031002,2024-07-03,2024-07-05,4,7,parcel,Summit Express,Expedited,Columbus OH,Los Angeles CA,43252,90001,39.96,-82.99,34.05,-118.24,1974.0,8,,5.5,7.2,3.5,0,0,0,57.8,0.1129,0.055,0.028,4,20.84,3,1
SHP-42-0043237,2025-05-26,2025-05-27,1,5,parcel,Northstar Parcel,Expedited,Salt Lake City UT,New York NY,84140,10005,40.76,-111.89,40.71,-74.01,1967.5,8,12.46,15.4,10.1,11.4,0,0,0,0.0,0.0864,0.196,0.207,4,24.53,4,1
SHP-42-0021816,2025-02-28,2025-02-28,4,2,parcel,Falcon Post,Ground,Chicago IL,Atlanta GA,60670,30323,41.88,-87.63,33.75,-84.39,588.8,4,0.91,5.2,3.0,4.3,0,0,0,0.0,0.1228,0.355,0.121,5,6.59,6,0
SHP-42-0038046,2025-03-10,2025-03-13,3,3,ltl_freight,Vela Freight,LTL Standard,Denver CO,Houston TX,80262,77054,39.74,-104.99,29.76,-95.37,878.5,5,445.63,53.0,,30.5,1,0,1,142.09,0.0826,0.166,0.223,9,259.62,7,1
SHP-42-0035353,2025-05-11,2025-05-11,6,5,ltl_freight,Vela Freight,LTL Standard,Salt Lake City UT,New York NY,84154,10078,40.76,-111.89,40.71,-74.01,1967.5,8,267.58,44.2,28.4,24.2,1,0,0,109.18,0.1014,0.129,0.19,11,399.24,10,1
SHP-42-0015017,2025-07-04,2025-07-08,1,7,parcel,Falcon Post,Overnight,Portland OR,Charlotte NC,97247,28243,45.51,-122.68,35.23,-80.84,2285.1,8,10.65,12.9,7.5,10.4,0,0,0,97.73,0.1233,0.342,0.085,2,31.49,3,0
SHP-42-0023732,2024-07-02,2024-07-02,1,7,parcel,Falcon Post,Ground,Kansas City MO,Miami FL,64195,33119,39.1,-94.58,25.76,-80.19,1243.3,6,19.95,18.8,8.9,7.0,0,1,0,93.45,0.0861,0.299,0.0,6,26.13,6,1
SHP-42-0034471,2025-12-18,2025-12-19,4,12,parcel,Northstar Parcel,TwoDay,Los Angeles CA,Columbus OH,90093,43208,34.05,-118.24,39.96,-82.99,1974.0,8,3.89,8.4,8.7,6.5,0,1,0,0.0,0.1247,0.254,0.817,3,26.54,3,1
SHP-42-0020235,2025-02-03,2025-02-04,1,2,parcel,Falcon Post,Ground,Houston TX,Kansas City MO,77014,64160,29.76,-95.37,39.1,-94.58,646.9,5,3.37,9.4,7.1,6.2,0,1,0,57.14,0.149,0.518,0.122,6,14.33,7,0
SHP-42-0043965,2025-12-07,2025-12-09,1,12,parcel,Northstar Parcel,Ground,Portland OR,Chicago IL,97247,60646,45.51,-122.68,41.88,-87.63,1754.6,7,1.45,4.3,3.7,4.9,0,1,0,330.12,0.1664,0.285,0.841,7,19.67,6,1
SHP-42-0014611,2024-02-10,2024-02-12,0,2,parcel,Northstar Parcel,Ground,Atlanta GA,Minneapolis MN,30351,55427,33.75,-84.39,44.98,-93.27,908.1,5,2.05,6.0,7.3,5.3,0,0,0,0.0,0.1512,0.623,0.048,6,10.96,5,1
SHP-42-0045604,2024-09-10,2024-09-11,2,9,parcel,Northstar Parcel,Ground,Atlanta GA,Los Angeles CA,30378,90081,33.75,-84.39,34.05,-118.24,1932.4,8,3.22,6.1,7.6,6.2,0,1,0,29.91,0.1206,0.154,0.16,7,15.33,7,1
SHP-42-0044855,2025-05-27,2025-05-27,1,5,parcel,Falcon Post,Ground,Phoenix AZ,Chicago IL,85011,60675,33.45,-112.07,41.88,-87.63,1451.5,7,2.97,6.1,5.5,3.5,0,0,0,29.69,0.1072,0.376,0.142,7,11.63,8,0
SHP-42-0048692,2024-06-27,2024-06-28,4,6,parcel,Cobalt Regional,TwoDay,Salt Lake City UT,Denver CO,84115,80224,40.76,-111.89,39.74,-104.99,370.5,4,3.2,5.5,8.0,4.0,0,1,0,0.0,0.0949,0.34,0.163,3,21.3,3,1
SHP-42-0014528,2025-12-07,2025-12-09,1,12,parcel,Northstar Parcel,TwoDay,Chicago IL,Charlotte NC,60676,28274,41.88,-87.63,35.23,-80.84,587.6,4,0.95,4.9,4.7,2.9,0,0,0,227.78,0.1271,0.385,0.778,3,19.36,4,0
SHP-42-0023364,2025-04-17,2025-04-18,4,4,parcel,Falcon Post,Ground,Boston MA,Minneapolis MN,02121,55490,42.36,-71.06,44.98,-93.27,1121.0,6,5.44,12.4,7.7,6.9,0,1,0,135.59,0.0759,0.143,0.117,6,12.53,7,0
SHP-42-0014625,2024-11-19,2024-11-20,2,11,ltl_freight,Ironclad Freight,LTL Standard,Chicago IL,Atlanta GA,60662,30335,41.88,-87.63,33.75,-84.39,588.8,4,150.0,22.8,28.0,16.6,1,0,0,0.0,0.1038,0.219,0.737,8,183.56,10,0
SHP-42-0032552,2025-05-09,2025-05-09,4,5,ltl_freight,Ironclad Freight,LTL Standard,Atlanta GA,Columbus OH,30347,43293,33.75,-84.39,39.96,-82.99,436.0,4,732.45,34.7,44.1,22.1,1,1,0,16.07,0.0888,0.132,0.189,8,197.19,9,0
SHP-42-0032669,2025-07-19,2025-07-20,6,7,ltl_freight,Ironclad Freight,LTL Standard,New York NY,Salt Lake City UT,10093,84122,40.71,-74.01,40.76,-111.89,1967.5,8,366.31,43.3,35.5,17.8,1,0,0,174.0,0.1059,0.213,0.212,11,363.71,11,1
SHP-42-0001811,2024-04-30,2024-04-30,1,4,parcel,Falcon Post,Expedited,Seattle WA,Columbus OH,98139,43295,47.61,-122.33,39.96,-82.99,2008.8,8,1.26,6.4,,3.2,0,0,0,0.0,0.1367,0.099,0.159,4,11.99,5,0
SHP-42-0043105,2025-07-03,2025-07-03,3,7,parcel,Northstar Parcel,Ground,Chicago IL,Salt Lake City UT,60616,84111,41.88,-87.63,40.76,-111.89,1257.1,6,7.78,13.7,8.5,9.7,0,0,0,129.84,0.1271,0.253,0.12,6,17.94,5,1
SHP-42-0044648,2025-03-28,2025-03-28,4,3,ltl_freight,Vela Freight,LTL Standard,Houston TX,Los Angeles CA,77005,90070,29.76,-95.37,34.05,-118.24,1370.7,6,1150.74,52.9,59.0,25.5,1,0,0,144.67,0.1012,0.124,0.247,10,379.01,9,1
SHP-42-0040300,2025-11-13,2025-11-13,3,11,parcel,Falcon Post,Ground,Chicago IL,Charlotte NC,60635,28281,41.88,-87.63,35.23,-80.84,587.6,4,1.76,5.5,5.2,5.9,0,1,0,143.77,0.0976,0.04,0.831,5,11.19,5,1
SHP-42-0022047,2025-07-04,2025-07-06,6,7,ltl_freight,IRONCLAD FREIGHT,LTL Standard,New York NY,Salt Lake City UT,10089,84138,40.71,-74.01,40.76,-111.89,1967.5,8,828.47,56.3,35.5,44.4,1,0,0,0.0,0.0991,0.443,0.103,11,390.58,11,1
SHP-42-0009830,2025-11-10,2025-11-10,0,11,parcel,Summit Express,Expedited,Kansas City MO,Atlanta GA,64138,30337,39.1,-94.58,33.75,-84.39,675.8,5,3.8,9.5,7.5,7.0,0,1,0,0.0,0.1148,0.372,0.833,4,24.08,3,1
SHP-42-0040316,2025-09-23,2025-09-23,1,9,parcel,Northstar Parcel,Ground,Los Angeles CA,New York NY,90065,10014,34.05,-118.24,40.71,-74.01,2445.3,8,2.31,5.5,5.9,3.3,0,0,1,26.57,0.1077,0.174,0.305,7,14.94,6,1
SHP-42-0001003,2025-12-24,2025-12-26,4,12,parcel,Falcon Post,Expedited,Dallas TX,Nashville TN,75225,37258,32.78,-96.8,36.16,-86.78,616.3,5,7.78,13.9,10.6,5.7,0,1,0,50.19,0.1365,0.434,0.685,4,18.61,5,0
SHP-42-0041493,2024-02-29,2024-02-29,3,2,parcel,Cobalt Regional,Expedited,Los Angeles CA,Seattle WA,90056,98162,34.05,-118.24,47.61,-122.33,960.6,5,7.32,8.0,7.5,7.6,0,1,0,49.92,0.1149,0.383,0.19,4,21.19,3,1
SHP-42-0020794,2024-09-09,2024-09-10,1,9,parcel,Summit Express,Ground,Los Angeles CA,Minneapolis MN,90008,55441,34.05,-118.24,44.98,-93.27,1521.2,7,1.33,4.2,5.9,5.0,0,0,0,0.0,0.1279,0.267,0.198,7,13.02,5,1
SHP-42-0011980,2024-03-31,2024-03-31,6,3,parcel,Falcon Post,Ground,Miami FL,Los Angeles CA,33107,90085,25.76,-80.19,34.05,-118.24,2335.5,8,1.3,6.8,4.9,5.0,0,1,0,116.67,0.1116,0.171,0.173,7,11.18,7,1
SHP-42-0037213,2024-02-06,2024-02-06,1,2,parcel,Falcon Post,Ground,New York NY,Los Angeles CA,10015,90085,40.71,-74.01,34.05,-118.24,2445.3,8,3.5,10.8,6.4,6.3,0,1,0,34.41,0.1463,0.306,0.125,7,14.54,9,0
SHP-42-0005222,2024-02-01,2024-02-02,4,2,parcel,Northstar Parcel,Ground,Dallas TX,Phoenix AZ,75287,85066,32.78,-96.8,33.45,-112.07,884.1,5,8.48,13.9,8.1,5.6,0,0,0,26.92,0.1476,0.224,0.19,6,14.68,5,1
SHP-42-0004384,2025-05-18,2025-05-20,1,5,parcel,Falcon Post,Ground,Nashville TN,Dallas TX,37254,75248,36.16,-86.78,32.78,-96.8,616.3,5,2.94,9.1,5.8,5.4,0,0,0,0.0,0.11,0.394,0.098,6,10.0,7,0
SHP-42-0012956,2024-09-26,2024-09-27,4,9,parcel,Falcon Post,Ground,New York NY,Phoenix AZ,10009,85003,40.71,-74.01,33.45,-112.07,2139.4,8,5.25,12.2,9.9,4.8,0,1,0,23.28,0.1129,0.26,0.244,7,13.18,8,0
SHP-42-0034265,2024-03-01,2024-03-02,5,3,parcel,Summit Express,Overnight,Minneapolis MN,Los Angeles CA,55494,90085,44.98,-93.27,34.05,-118.24,1521.2,7,1.05,6.7,4.7,3.2,0,0,0,71.54,0.0546,0.089,0.12,2,34.12,1,1
SHP-42-0031003,2024-12-03,2024-12-05,3,12,ltl_freight,Ironclad Freight,LTL Standard,Houston TX,Los Angeles CA,77028,90014,29.76,-95.37,34.05,-118.24,1370.7,6,168.69,,31.1,22.3,1,0,0,114.93,0.1175,0.401,0.957,10,283.46,10,1
SHP-42-0039703,2025-10-04,2025-10-04,5,10,parcel,Falcon Post,Ground,Boston MA,Los Angeles CA,02132,90047,42.36,-71.06,34.05,-118.24,2590.7,8,2.59,7.7,7.6,6.3,0,1,0,0.0,0.0715,0.1,0.194,7,11.2,7,1
SHP-42-0008466,2025-02-22,2025-02-23,6,2,parcel,Northstar Parcel,Expedited,Atlanta GA,Chicago IL,30339,60699,33.75,-84.39,41.88,-87.63,588.8,4,,6.7,5.7,6.7,0,1,0,190.96,0.1684,0.528,0.269,3,22.86,3,1
SHP-42-0041307,2024-04-24,2024-04-24,2,4,parcel,Cobalt Regional,Overnight,Los Angeles CA,Phoenix AZ,90040,85022,34.05,-118.24,33.45,-112.07,356.8,4,2.79,,7.4,4.3,0,1,0,0.0,0.0895,0.434,0.252,2,27.39,2,1
SHP-42-0021003,2025-02-05,2025-02-06,3,2,parcel,Northstar Parcel,Overnight,Kansas City MO,Houston TX,64188,77000,39.1,-94.58,29.76,-95.37,646.9,5,12.12,12.5,12.8,6.8,0,1,0,13.55,0.1522,0.325,0.043,2,43.58,1,1
SHP-42-0008188,2024-11-25,2024-11-26,1,11,parcel,Northstar Parcel,Ground,Phoenix AZ,Boston MA,85031,02182,33.45,-112.07,42.36,-71.06,2294.9,8,2.32,8.4,5.6,3.8,0,0,0,30.91,0.1241,0.201,0.834,7,10.29,7,1
SHP-42-0035831,2024-04-16,2024-04-16,1,4,parcel,Summit Express,Ground,Atlanta GA,Miami FL,30379,33166,33.75,-84.39,25.76,-80.19,606.7,5,1.79,7.7,4.4,5.2,0,1,1,171.15,0.0727,0.339,0.128,6,22.57,4,1
SHP-42-0019645,2025-01-03,2025-01-07,1,1,ltl_freight,vela freight,LTL Guaranteed,Phoenix AZ,Los Angeles CA,85018,90007,33.45,-112.07,34.05,-118.24,356.8,4,780.95,44.0,36.2,20.9,1,0,0,63.27,0.1317,0.532,0.185,6,218.17,6,1
SHP-42-0044074,2024-02-06,2024-02-06,1,2,parcel,Summit Express,Ground,Miami FL,Kansas City MO,33118,64125,25.76,-80.19,39.1,-94.58,1243.3,6,3.43,7.8,6.2,5.7,0,0,0,112.21,0.1624,0.4,0.169,6,16.81,6,1
SHP-42-0001536,2025-05-21,2025-05-23,4,5,parcel,Northstar Parcel,Ground,Kansas City MO,Chicago IL,64107,60601,39.1,-94.58,41.88,-87.63,412.5,4,2.23,9.0,7.0,3.8,0,1,0,0.0,0.0571,0.158,0.099,5,11.02,5,1
SHP-42-0041896,2024-09-01,2024-09-02,0,9,parcel,Falcon Post,Ground,Los Angeles CA,Phoenix AZ,90008,85066,34.05,-118.24,33.45,-112.07,356.8,4,2.83,9.7,4.8,3.6,0,1,0,37.86,0.1185,0.381,0.127,5,11.38,6,0
SHP-42-0045850,2025-11-29,2025-11-30,6,11,parcel,Falcon Post,Ground,Denver CO,Miami FL,80297,33110,39.74,-104.99,25.76,-80.19,1725.4,7,6.15,9.5,7.2,8.4,0,1,0,0.0,0.0816,0.122,0.844,7,14.79,6,1
SHP-42-0023310,2024-01-13,2024-01-14,6,1,parcel,  Falcon Post ,Ground,Dallas TX,New York NY,75232,10013,32.78,-96.8,40.71,-74.01,1370.4,6,12.89,9.7,12.2,11.4,0,0,0,0.0,0.1331,0.5,0.251,6,20.13,7,0
SHP-42-0007324,2024-09-28,2024-09-28,5,9,parcel,Falcon Post,Expedited,Boston MA,Houston TX,02189,77095,42.36,-71.06,29.76,-95.37,1604.0,7,3.44,9.6,5.3,5.1,0,1,0,0.0,0.0674,0.215,0.056,4,14.24,6,0
SHP-42-0032811,2025-02-11,2025-02-13,3,2,parcel,Falcon Post,TwoDay,Seattle WA,Chicago IL,98123,60647,47.61,-122.33,41.88,-87.63,1732.8,7,2.05,8.9,6.5,5.0,0,1,0,0.0,0.1515,0.552,0.249,3,19.4,6,0
SHP-42-0016290,2024-12-12,2024-12-14,5,12,ltl_freight,Ironclad Freight,LTL Standard,Atlanta GA,Boston MA,30343,02170,33.75,-84.39,42.36,-71.06,936.0,5,1228.57,54.8,45.9,30.8,2,0,0,92.85,0.1775,0.3,0.832,9,328.79,10,0
SHP-42-0002982,2025-05-29,2025-05-29,3,5,parcel,Falcon Post,Ground,Dallas TX,Seattle WA,75239,98186,32.78,-96.8,47.61,-122.33,1679.5,7,4.77,6.2,6.1,8.0,0,1,1,15.77,0.111,0.113,0.198,7,17.19,6,1
SHP-42-0012296,2025-08-06,2025-08-08,4,8,parcel,Summit Express,  Ground ,Charlotte NC,Chicago IL,28278,60656,35.23,-80.84,41.88,-87.63,587.6,4,0.41,4.0,3.0,2.1,0,0,0,63.3,0.087,0.502,0.113,5,11.23,5,1
SHP-42-0012689,2025-02-05,2025-02-06,3,2,ltl_freight,Ironclad Freight,LTL Standard,Phoenix AZ,Los Angeles CA,85079,90030,33.45,-112.07,34.05,-118.24,356.8,4,296.14,47.5,22.9,24.4,1,0,0,0.0,0.0817,0.509,0.2,8,162.33,8,1
SHP-42-0025193,2024-05-26,2024-05-27,0,5,parcel,Falcon Post,Expedited,Nashville TN,Dallas TX,37207,75218,36.16,-86.78,32.78,-96.8,616.3,5,2.43,5.2,5.8,3.2,0,1,0,29.26,0.0679,0.009,0.149,4,12.44,4,1
SHP-42-0033463,2024-06-02,2024-06-03,0,6,parcel,Northstar Parcel,Ground,New York NY,Phoenix AZ,10083,85025,40.71,-74.01,33.45,-112.07,2139.4,8,8.97,7.7,6.8,6.1,0,1,0,108.11,0.0654,0.23,0.099,7,22.17,7,1
SHP-42-0040466,2024-10-20,2024-10-23,2,10,parcel,Northstar Parcel,Ground,Chicago IL,Columbus OH,60629,43208,41.88,-87.63,39.96,-82.99,276.1,3,5.02,10.0,9.5,5.9,0,1,0,46.42,0.1032,0.444,0.202,5,15.83,4,1
SHP-42-0045679,2024-08-17,2024-08-18,6,8,ltl_freight,Ironclad Freight,LTL Guaranteed,Minneapolis MN,Dallas TX,55492,75209,44.98,-93.27,32.78,-96.8,863.8,5,1232.98,58.4,44.9,29.2,2,0,0,0.0,0.091,0.514,0.013,6,300.14,7,0
SHP-42-0039759,2024-10-31,2024-11-03,6,11,parcel,NORTHSTAR PARCEL,Ground,Dallas TX,Phoenix AZ,75249,85067,32.78,-96.8,33.45,-112.07,884.1,5,9.59,,10.8,6.0,0,0,0,66.89,0.097,0.331,0.817,6,15.16,6,1
SHP-42-0003035,2024-12-04,2024-12-05,3,12,ltl_freight,Vela Freight,LTL Standard,Minneapolis MN,Miami FL,55400,33132,44.98,-93.27,25.76,-80.19,1514.3,7,182.37,34.6,28.2,14.8,1,0,1,0.0,0.1863,0.209,0.848,10,358.89,10,1
SHP-42-0007149,2024-10-16,2024-10-17,3,10,parcel,Northstar Parcel,Ground,Houston TX,Boston MA,77040,02110,29.76,-95.37,42.36,-71.06,1604.0,7,4.24,10.4,6.5,5.2,0,1,0,16.12,0.1272,0.21,0.165,7,17.03,6,1
SHP-42-0039403,2024-03-16,2024-03-16,5,3,parcel,Northstar Parcel,TwoDay,Phoenix AZ,Charlotte NC,85045,28251,33.45,-112.07,35.23,-80.84,1778.6,7,10.23,15.4,8.5,8.6,0,0,0,79.63,0.1072,0.589,0.12,3,27.53,3,1
SHP-42-0011028,2025-05-05,2025-05-05,0,5,parcel,Northstar Parcel,Ground,Miami FL,Boston MA,33161,02114,25.76,-80.19,42.36,-71.06,1258.5,6,2.67,8.2,6.4,3.3,0,1,0,120.06,0.0919,0.46,0.107,6,16.41,7,0
SHP-42-0006720,2024-02-25,2024-02-26,0,2,parcel,Falcon Post,Ground,Atlanta GA,Houston TX,30300,77083,33.75,-84.39,29.76,-95.37,701.0,5,4.23,5.8,8.0,7.1,0,1,0,275.33,0.1412,0.568,0.329,6,18.03,7,0
SHP-42-0012492,2024-06-16,2024-06-17,0,6,parcel,Cobalt Regional,Overnight,Denver CO,Phoenix AZ,80266,85088,39.74,-104.99,33.45,-112.07,585.4,4,2.1,4.8,5.0,,0,0,1,35.65,0.088,0.266,0.042,2,28.17,2,1
SHP-42-0015805,2024-06-01,2024-06-01,5,6,parcel,Summit Express,Expedited,Kansas City MO,Chicago IL,64175,60619,39.1,-94.58,41.88,-87.63,412.5,4,2.31,7.3,4.7,5.5,0,1,0,155.85,0.1034,0.146,0.123,3,25.63,3,1
SHP-42-0010445,2025-11-22,2025-11-24,0,11,parcel,Summit Express,Expedited,Los Angeles CA,Denver CO,90089,80217,34.05,-118.24,39.74,-104.99,829.8,5,9.72,9.0,,9.1,0,0,0,32.27,0.1268,0.083,0.841,4,24.99,2,1
SHP-42-0037916,2025-12-03,2025-12-03,2,12,ltl_freight,Ironclad Freight,LTL Standard,Salt Lake City UT,Dallas TX,84151,75277,40.76,-111.89,32.78,-96.8,998.5,5,690.37,55.1,42.8,25.5,1,0,0,110.1,0.1619,0.453,0.729,9,279.49,9,1
SHP-42-0001414,2025-03-05,2025-03-05,2,3,parcel,Falcon Post,Overnight,Dallas TX,Chicago IL,75205,60630,32.78,-96.8,41.88,-87.63,804.7,5,4.84,7.1,7.3,4.9,0,1,0,0.0,0.1174,0.1,0.217,2,27.7,4,0
SHP-42-0007451,2025-06-11,2025-06-11,2,6,parcel,Northstar Parcel,Ground,New York NY,Chicago IL,10075,60642,40.71,-74.01,41.88,-87.63,710.9,5,5.2,12.0,8.8,4.9,0,0,0,98.03,0.0791,0.26,0.086,6,12.75,4,1
SHP-42-0038540,2024-10-07,2024-10-08,1,10,parcel,Cobalt Regional,Ground,Portland OR,Phoenix AZ,97250,85060,45.51,-122.68,33.45,-112.07,1005.3,6,8.39,11.8,7.4,6.3,0,1,0,590.23,0.1329,0.294,0.167,6,26.4,5,1
SHP-42-0046452,2024-08-10,2024-08-10,5,8,parcel,Summit Express,Expedited,Boston MA,Dallas TX,02131,75215,42.36,-71.06,32.78,-96.8,1549.1,7,2.99,6.1,6.3,5.7,0,1,0,100.94,0.12,0.002,0.035,4,25.68,3,1
SHP-42-0024517,2024-05-22,2024-05-23,3,5,parcel,Northstar Parcel,Ground,Phoenix AZ,Chicago IL,85009,60667,33.45,-112.07,41.88,-87.63,1451.5,7,5.32,6.3,6.4,7.2,0,0,0,0.0,0.1058,0.232,0.046,7,13.91,6,1
SHP-42-0021011,2025-04-27,2025-04-27,6,4,parcel,Falcon Post,Expedited,Columbus OH,Los Angeles CA,43237,90043,39.96,-82.99,34.05,-118.24,1974.0,8,6.43,10.5,7.0,8.4,0,1,0,0.0,0.1033,0.357,0.22,4,16.65,6,0
SHP-42-0043109,2025-08-12,2025-08-15,4,8,ltl_freight,Vela Freight,LTL Standard,Miami FL,New York NY,33165,10087,25.76,-80.19,40.71,-74.01,1092.2,6,1118.85,69.9,51.5,33.4,1,0,0,40.09,0.1,0.053,0.069,10,337.79,8,1
SHP-42-0039168,2024-06-08,2024-06-08,5,6,parcel,Cobalt Regional,Ground,Los Angeles CA,Denver CO,90096,80250,34.05,-118.24,39.74,-104.99,829.8,5,2.7,6.8,6.4,4.8,0,0,0,45.89,0.1068,0.246,0.295,6,12.85,5,1
SHP-42-0038772,2025-08-11,2025-08-12,1,8,parcel,Northstar Parcel,Ground,Los Angeles CA,Miami FL,90078,33198,34.05,-118.24,25.76,-80.19,2335.5,8,1.75,7.9,3.9,3.8,0,0,0,0.0,0.0728,0.157,0.158,7,8.9,6,1
SHP-42-0015247,2024-03-12,2024-03-14,3,3,parcel,Falcon Post,Ground,New York NY,Boston MA,10084,02165,40.71,-74.01,42.36,-71.06,190.4,3,3.11,6.5,8.2,5.0,0,1,1,12.36,0.0624,0.472,0.206,5,14.65,5,1
SHP-42-0041273,2025-08-31,2025-08-31,6,8,parcel,Falcon Post,Ground,Nashville TN,Seattle WA,37241,98170,36.16,-86.78,47.61,-122.33,1970.6,8,1.44,5.1,6.4,4.4,0,1,0,0.0,0.1031,0.344,0.093,7,9.84,8,0
SHP-42-0017542,2025-10-01,2025-10-01,2,10,parcel,Falcon Post,Ground,New York NY,Los Angeles CA,10080,90012,40.71,-74.01,34.05,-118.24,2445.3,8,5.62,7.5,9.4,6.2,0,1,0,0.0,0.0823,0.604,0.113,7,14.7,7,1
SHP-42-0026981,2025-10-29,2025-10-29,2,10,parcel,Falcon Post,Ground,New York NY,Charlotte NC,10005,28269,40.71,-74.01,35.23,-80.84,530.5,4,2.38,5.0,6.1,3.4,0,1,0,0.0,0.1367,0.095,0.247,5,10.47,3,1
SHP-42-0029930,2025-10-30,2025-11-02,6,11,parcel,Northstar Parcel,Ground,Houston TX,New York NY,77057,10035,29.76,-95.37,40.71,-74.01,1417.3,7,0.79,5.6,3.6,2.4,0,0,0,0.0,0.129,0.331,0.799,7,11.46,6,1
